id,full_name,short_name,division_id,district,state
612,CHANCHELAV,CCL,17,PANCH MAHALS,GUJARAT
613,CHORAL,CRL,17,INDORE,MADHYA PRADESH
614,DALAUDA,DLD,17,MANDSAUR,MADHYA PRADESH
615,DHODHAR,DOD,17,RATLAM,MADHYA PRADESH
616,FATEHABAD CHANDRAWAT,FTD,17,UJJAIN,MADHYA PRADESH
617,GAMBHIRI ROAD,GRF,17,CHITTORGARH,RAJASTHAN
618,GAUTAMPURA ROAD,GPX,17,INDORE,MADHYA PRADESH
619,HARKIA KHAL,HKL,17,NEEMUCH,MADHYA PRADESH
620,JABRI,JBX,17,SHAJAPUR,MADHYA PRADESH
621,JAWAD ROAD,JWO,17,NEEMUCH,MADHYA PRADESH
622,JEKOT,JKT,17,DOHAD,GUJARAT
623,KALAKUND,KKD,17,INDORE,MADHYA PRADESH
624,KALI SINDH,KSH,17,SHAJAPUR,MADHYA PRADESH
625,KANSUDHI,KIZ,17,PANCH MAHALS,GUJARAT
626,KARACHHA,KDHA,17,UJJAIN,MADHYA PRADESH
627,LAKSHMIBAI NAGAR,LMNR,17,INDORE,MADHYA PRADESH
628,MALHARGARH,MLG,17,MANDSAUR,MADHYA PRADESH
629,MANGAL MAHUDI,MAM,17,DOHAD,GUJARAT
630,MANGLIYAGAON,MGG,17,INDORE,MADHYA PRADESH
631,MORWANI,MRN,17,RATLAM,MADHYA PRADESH
632,MUKHTIARA BALWARA,MKT,17,KHARGONE,MADHYA PRADESH
633,NAIKHERI,NKI,17,UJJAIN,MADHYA PRADESH
634,NAMLI,NLI,17,RATLAM,MADHYA PRADESH
635,NARANJIPUR,NRGR,17,DEWAS,MADHYA PRADESH
636,NAUGANWAN,NGW,17,RATLAM,MADHYA PRADESH
637,NIMAR-KHERI,NKR,17,EAST NIMAR,MADHYA PRADESH
638,OMKARESHWAR ROAD,OM,17,EAST NIMAR,MADHYA PRADESH
639,PACHAWAN,PNWN,17,SEHORE,MADHYA PRADESH
640,PALIA,PLA,17,INDORE,MADHYA PRADESH
641,PALSORA MAKRAWAN,PSO,17,UJJAIN,MADHYA PRADESH
642,PANCH PIPLIA,PCN,17,JHABUA,MADHYA PRADESH
643,PARBATI,PRB,17,SHAJAPUR,MADHYA PRADESH
644,PATAL PANI,PTP,17,INDORE,MADHYA PRADESH
645,PHANDA,PUD,17,SEHORE,MADHYA PRADESH
646,PINGLESWAR,PLW,17,UJJAIN,MADHYA PRADESH
647,PIPLOD JN.,PPD,17,DOHAD,GUJARAT
648,PIPLODA BAGLA,PPG,17,UJJAIN,MADHYA PRADESH
649,PIR UMROD,PUO,17,SHAJAPUR,MADHYA PRADESH
650,RAJENDRA NAGAR,RJQ,17,INDORE,MADHYA PRADESH
651,RANYALA JASMIYA,RCJ,17,DEWAS,MADHYA PRADESH
652,RAOTI,RTI,17,RATLAM,MADHYA PRADESH
653,RAU,RAU,17,INDORE,MADHYA PRADESH
654,RENTIYA,RET,17,DOHAD,GUJARAT
655,RUNIJA,RNJ,17,UJJAIN,MADHYA PRADESH
656,RUNKHERA,RNH,17,UJJAIN,MADHYA PRADESH
657,SANAWAD,SWD,17,Khargone,MADHYA PRADESH
658,SANT ROAD,SAT,17,PANCH MAHALS,GUJARAT
659,SHAMBHUPARA,SMP,17,CHITTORGARH,RAJASTHAN
660,TAJPUR,TJP,17,UJJAIN,MADHYA PRADESH
661,TARANA ROAD,TAN,17,UJJAIN,MADHYA PRADESH
662,UNHEL,UNL,17,UJJAIN,MADHYA PRADESH
663,USRA,USRA,17,DOHAD,GUJARAT
664,VIKRAMNAGAR,VRG,17,UJJAIN,MADHYA PRADESH
